matchweek,date,venue,result,gf,ga,opponent,days_rest
1,2025-08-17,Away,W,1,0,Manchester Utd,
2,2025-08-23,Home,W,5,0,Leeds United,6
3,2025-08-31,Away,L,0,1,Liverpool,8
4,2025-09-13,Home,W,3,0,Nottingham Forest,13
5,2025-09-21,Home,D,1,1,Manchester City,8
6,2025-09-28,Away,W,2,1,Newcastle United,7
7,2025-10-04,Home,W,2,0,West Ham United,6
8,2025-10-18,Away,W,1,0,Fulham,14
9,2025-10-26,Home,W,1,0,Crystal Palace,8
10,2025-11-01,Away,W,2,0,Burnley,6
11,2025-11-08,Away,D,2,2,Sunderland,7
12,2025-11-23,Home,W,4,1,Tottenham Hotspur,15
13,2025-11-30,Away,D,1,1,Chelsea,7
14,2025-12-03,Home,W,2,0,Brentford,3
15,2025-12-06,Away,L,1,2,Aston Villa,3
16,2025-12-13,Home,W,2,1,Wolves,7
17,2025-12-20,Away,W,1,0,Everton,7
18,2025-12-27,Home,W,2,1,Brighton,7
19,2025-12-30,Home,W,4,1,Aston Villa,3
20,2026-01-03,Away,W,3,2,Bournemouth,4
21,2026-01-08,Home,D,0,0,Liverpool,5
22,2026-01-17,Away,D,0,0,Nottingham Forest,9
23,2026-01-25,Home,L,2,3,Manchester Utd,8
24,2026-01-31,Away,W,4,0,Leeds United,6
25,2026-02-07,Home,W,3,0,Sunderland,7
26,2026-02-12,Away,D,1,1,Brentford,5
27,2026-02-22,Away,W,4,1,Tottenham Hotspur,10
28,2026-03-01,Home,W,2,1,Chelsea,7
29,2026-03-04,Away,W,1,0,Brighton,3
30,2026-03-14,Home,W,2,0,Everton,10
31,2026-02-18,Away,D,2,2,Wolves,4
32,2026-04-11,Home,L,1,2,Bournemouth,52
33,2026-04-19,Away,L,1,2,Manchester City,8
34,2026-04-25,Home,W,1,0,Newcastle United,6
35,2026-05-02,Home,W,3,0,Fulham,7
