matchweek,date,venue,result,gf,ga,opponent,days_rest
1,2025-08-16,Home,W,3,0,Burnley,
2,2025-08-23,Away,W,2,0,Manchester City,7
3,2025-08-30,Home,L,0,1,Bournemouth,7
4,2025-09-13,Away,W,3,0,West Ham United,14
5,2025-09-20,Away,D,2,2,Brighton,7
6,2025-09-27,Home,D,1,1,Wolves,7
7,2025-10-04,Away,W,2,1,Leeds United,7
8,2025-10-19,Home,L,1,2,Aston Villa,15
9,2025-10-26,Away,W,3,0,Everton,7
10,2025-11-01,Home,L,0,1,Chelsea,6
11,2025-11-08,Home,D,2,2,Manchester Utd,7
12,2025-11-23,Away,L,1,4,Arsenal,15
13,2025-11-29,Home,L,1,2,Fulham,6
14,2025-12-02,Away,D,2,2,Newcastle United,3
15,2025-12-06,Home,W,2,0,Brentford,4
16,2025-12-14,Away,L,0,3,Nottingham Forest,8
17,2025-12-20,Home,L,1,2,Liverpool,6
18,2025-12-28,Away,W,1,0,Crystal Palace,8
19,2026-01-01,Away,D,0,0,Brentford,4
20,2026-01-04,Home,D,1,1,Sunderland,3
21,2026-01-07,Away,L,2,3,Bournemouth,3
22,2026-01-17,Home,L,1,2,West Ham United,10
23,2026-01-24,Away,D,2,2,Burnley,7
24,2026-02-01,Home,D,2,2,Manchester City,8
25,2026-02-07,Away,L,0,2,Manchester Utd,6
26,2026-02-10,Home,L,1,2,Newcastle United,3
27,2026-02-22,Home,L,1,4,Arsenal,12
28,2026-03-01,Away,L,1,2,Fulham,7
29,2026-03-05,Home,L,1,3,Crystal Palace,4
30,2026-03-15,Away,D,1,1,Liverpool,10
31,2026-03-22,Home,L,0,3,Nottingham Forest,7
32,2026-04-12,Away,L,0,1,Sunderland,21
33,2026-04-18,Home,D,2,2,Brighton,6
34,2026-04-25,Away,W,1,0,Wolves,7
35,2026-05-03,Away,W,2,1,Aston Villa,8
